Название товара;Артикул;Идентификатор товара в магазине;Остаток;Цена продажи;Старая цена;Закупочная цена
"Хлебница ""Тыква"", 40х30х20 см";NC6837-ODN-AL;52129076;6;7300;;4085
"Чайник ""Тыква"", 1 л";NC7360-ODN-AL;52129077;11;4190;;2358
"Часы настенные ""Тыква"", 29х29 см";NC3720-ODN-AL;52129078;;4290;;2444
"Чашка на блюдце-подносе ""Тыква"", 0.5 л";NC7960-ODN-AL;52129079;3;3000;;1382
"Чашка с блюдцем ""Тыква"", 0.3 л";NC7417-ODN-AL;52129080;999;2470;;1412
Блюдо-листок с божьей коровкой, 29х24 см;SB49592AL;20649790;;5290;;3237
Настольные часы, 40х31 см.;SB682LAL;20649797;;43490;;26391
Подсвечник  Ангел с флейтой, 31 см.;SB43052AL;20649769;;11000;;6667
Подсвечник Ангел, 31 см.;SB43042AL;20649768;;11000;;6667
Ракушка двойная с ангелом, 44см, h 22см;SB45262AL;20649785;;23090;;14040
Ракушка морская, h 9 см;SB45112AL;20649782;;3000;;1843
Ракушка с русалкой, 25 см.;SB45302AL;20649788;;12190;;7452
Ракушка, 10 см;SB45062AL;20649779;;3100;;1914
Ракушка, 10х20 см.;SB45292AL;20649787;;8600;;5235
Ракушка, 15 см;SB45102AL;20649781;;6390;;3923
Ракушка, 22 см;SB45142AL;20649783;;6800;;4170
Ракушка, 24см;SB45282AL;20649786;;5800;;3561
Ракушка, 9 см;SB45092AL;20649780;;3090;;1937
"Статуэтка ""Балерина"" (сидит) 32 см.";SB2180MPAL;16692858;;19800;;12040
"Статуэтка ""Дама в шляпке"" (бронза), 35 см";SB2800BR;63732312;;19190;;11650
"Статуэтка ""Дама с голубкой"", 35 см";SB2962C;63732313;;21590;;13104
"Статуэтка ""Дама с лебедем"", 35 см";SB2963C;63732314;;17280;;10483
"Статуэтка ""Девушка с бабочкой"", 35 см";SB2961C;63732315;;21590;;13104
"Статуэтка ""Девушка с бабочкой, бронза"", 35 см";SB2386BR;63732316;;22200;;13464
"Статуэтка ""Девушка с букетом"", 33 см";SB2381LAL;63732317;;15420;;9361
"Статуэтка ""Девушка с концертино"" h 32 см (цветная)";SB2375LAL;16692860;;8300;;5043
"Статуэтка ""Девушка с цветами и шляпой"" 35,5х22 см.";SB2373CAL;16692863;;7400;;4499
"Статуэтка ""Осень"" 34 см (золото)";SB2382LAL;60317759;;17690;;10759
"Статуэтка ""Фемида"", 30 см";SB2000J;63732318;;21790;;13212
Статуэтка Ангелочки на качелях (бел с золотом), h 29см;SB46172AL;20649789;;14990;;9106
Статуэтка Балерина (танцует), 37 см.;SB236MPAL;20649753;;8790;;5345
Статуэтка Дама в шляпке, h 33 см;SB2800LAL;20649764;;13600;;8258
Статуэтка Дама с веером  (цветная), 41х31 см;SB2701LAL;20649761;;16090;;9787
Статуэтка Дама с собакой, h 24см;SB2391LAL;20649760;;13090;;7948
Статуэтка Девушка в шляпе, h 26см;SB2390LAL;20649759;;13090;;7948
Статуэтка Девушка с бабочкой на подставке, h 36 см;SB2961LAL;20649767;;12990;;7915
Статуэтка Девушка с бубном, 29 см.;SB43742AL;20649773;;8300;;5078
Статуэтка Девушка с корзиной цветов, h 33см (цветная);SB2376LAL;20649755;;12590;;7658
Статуэтка Девушка с розами (цветная), h 27 см;SB2348LAL;20649750;;7900;;4838
Статуэтка Девушка с розами, h 27 см);SB43482AL;20649772;;7900;;4838
Статуэтка Девушка с тамбурином, h 32см (цветная);SB2374LAL;20649754;;8300;;5043
Статуэтка Девушка со скрипкой (цветная), h 33 см;SB2347LAL;20649749;;11600;;7079
Статуэтка Деревенская девушка, 27 см;SB281LAL;20649765;;13190;;8013
Статуэтка Дети в лодке, h 20см (цветная);SB272LAL;20649763;;6600;;4000
Статуэтка Жених и невеста, h 25см;SB2908LAL;20649766;;8700;;5280
Статуэтка Карета с четверкой лошадей;SB43432AL;20649771;;73500;;44605
