Артикул;Код сайта;Наименование;Цена опт;РРЦ;Материал;Наличие на складе;Остаток;Бренд;Страна производства;Страна ТМ;Категория;Категория 2;Размеры;Вид упаковки;Ссылка на фото;;Штрих-код;Вес;Серия;
C2-NH-6402AL;53714;Салфетница Стиль;230;414;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Салфетницы;10см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12053.jpg;;4796782135479;0.21;Стиль;
C2-NH-K2126;57795;Салфетница Грация;230;414;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Салфетницы;10см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14970.jpg;;4607947162349;0.21;Грация;
C2-OP12-6402AL;53715;Блюдо овальное Стиль;739;1330;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Блюда;32х23см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12044.jpg;;4796782135486;0.75;Стиль;
C2-SCR-6402;54781;Набор: сахарница + молочник Стиль;787;1417;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Наборы "сахарница и молочник";0.4л + 0.3л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12828.jpg;;4796782135745;0.67;Стиль;
C2-SP_2-6402AL;53707;Набор из 2-х суповых тарелок Стиль;1009;1816;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Тарелки;23см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12051.jpg;;4796782135493;0.81;Стиль;
C2-SP_2-K2126;57790;Набор из 2-х суповых тарелок Грация;1009;1816;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Тарелки;23см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14968.jpg;;4607947162295;0.81;Грация;
C2-TP-3701AL;44877;Чайник Флёр;685;1233;Фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Чайники, кофейники;1,2л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/8658.jpg;Распродажа;4796782134960;0.67;Флёр;
C2-TP-6402AL;53711;Чайник Стиль;1418;2552;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Чайники, кофейники;1,0 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12054.jpg;;4796782135509;0.75;Стиль;
C2-TP-K2126;57792;Чайник Грация;1418;2552;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Предметы сервировки стола;Чайники, кофейники;1.0л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14971.jpg;;4607947162318;0.50;Грация;
C2-TS_15-3701AL;44869;Чайный сервиз из 15 предметов на 6 персон Флёр;3771;6788;Фарфор;На складе;13;Colombo;КИТАЙ;Китай;Чайные сервизы;На 6 персон;6 чашек 0,21л, 6 блюдец, чайник 1,2л, сахарница 0,4л, молочник 0,36л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/8659.jpg;Распродажа;4796782134984;3.00;Флёр;
C2-TS_15-6402AL;53706;Чайный сервиз из 15 предметов на 6 персон Стиль;4495;8091;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Чайные сервизы;На 6 персон;6 чашек 0,25л, 6 блюдец, чайник 1.0л, сахарница 0,4л, молочник 0,3л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12055.jpg;;4796782135516;3.25;Стиль;
C2-TS_15-6962;54783;Чайный сервиз из 15 предметов на 6 персон Золотой замок;4339;7810;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Чайные сервизы;На 6 персон;6 чашек 0,25л, 6 блюдец, чайник 1.0л, сахарница 0,4л, молочник 0,3л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12826.jpg;Распродажа;4796782135776;3.25;Золотой замок;
C2-TS_15-K2126;57234;Чайный сервиз из 15 предметов на 6 персон Грация;4440;7992;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Чайные сервизы;На 6 персон;6 чашек 0,17л, 6 блюдец, чайник 0.85л, сахарница 0,3л, молочник 0,2л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14642.jpg;;4607947161038;2.00;Грация;
C2-TS_15-K8101;57239;Чайный сервиз из 15 предметов на 6 персон Ла-Рошель;5328;9590;Костяной фарфор;На складе;>20;Colombo;КИТАЙ;Китай;Чайные сервизы;На 6 персон;6 чашек 0,175л, 6 блюдец, чайник 0.8л, сахарница 0,3л, молочник 0,3л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14648.jpg;;4607947161083;3.00;Ла-Рошель;
CAR198-1132;57787;Тарелка треугольная Поцелуй (Г.Климт) без инд.упаковки;317;571;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;17х17см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14997.jpg;;5907580014616;0.21;Г.Климт;
CAR198-1133;57788;Тарелка треугольная Адель (Г.Климт) без инд.упаковки;317;571;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;17х17см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14981.jpg;;5907580014623;0.21;Г.Климт;
CAR198-1221-AL;44882;Тарелка для торта с лопаткой Поцелуй  (Г. Климт);907;1633;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Блюдо для торта;30 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/8838.jpg;;5902030254314;0.80;Г.Климт;
CAR198-1241-AL;45395;Тарелка квадратная Поцелуй (Г.Климт);185;333;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;13х13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9221.jpg;;5902030254482;0.14;Г.Климт;
CAR198-1402-AL;45397;Тарелка квадратная Золотая Адель (Г.Климт);185;333;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;13х13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9217.jpg;;5902030254505;0.14;Г.Климт;
CAR198-1502-AL;45398;Тарелка квадратная Золотая Адель (Г.Климт);525;945;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;25х25 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9218.jpg;;5902030254512;0.12;Г.Климт;
CAR198-1802-AL;45399;Набор для торта: блюдо с лопаткой Топаз (А. Муха);1038;1868;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Блюдо для торта;30см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9203.jpg;;5902030254529;0.80;А.Муха;
CAR198-3102;56766;Тарелка фигурная Ночная терраса кафе (В. Ван Гог);648;1166;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х23 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14324.jpg;;5907580050218;0.39;В. Ван Гог;
CAR198-7022-AL;53856;Набор из 2-х тарелок Поцелуй/Адель (Г. Климт);781;1406;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;21,5х12 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12064.jpg;Акция;5902030254918;0.40;Г.Климт;
CAR198-7023-AL;53857;Набор из 2-х тарелок Ожидание/Поцелуй (Г. Климт);781;1406;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;21,5х12 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12063.jpg;Акция;5902030254925;0.40;Г.Климт;
CAR198-7024-AL;53858;Набор из 2-х тарелок Зима/Весна (А. Муха);913;1643;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;21,5х12 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12061.jpg;;5902030254932;0.40;А.Муха;
CAR198-7025-AL;53859;Набор из 2-х тарелок Лето/Осень (А. Муха);913;1643;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;21,5х12 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12062.jpg;;5902030254949;0.40;А.Муха;
CAR198-7028-AL;53862;Менажница с ручкой  Поцелуй/Адель/В ожидании (Г. Климт);947;1705;Металл, стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Менажницы;34х34х3.5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12057.jpg;;5902030254956;0.60;Г.Климт;
CAR198-7305;55187;Тарелка квадратная Ирисы (Ван Гог) без инд.упаковки;185;333;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;13х13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13202.jpg;;5902030255090;0.14;В. Ван Гог;
CAR198-7308;55188;Тарелка квадратная Цветущий миндаль (Ван Гог) без инд.упаковки;185;333;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;13х13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13205.jpg;;5902030255106;0.14;В. Ван Гог;
CAR198-7309;55189;Тарелка квадратная Ночная терраса кафе (Ван Гог) без инд.упаковки;185;333;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;13х13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13203.jpg;;5902030255113;0.14;В. Ван Гог;
CAR198-7310;55190;Тарелка квадратная Звездная ночь (Ван Гог) без инд.упаковки;185;333;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;13х13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13201.jpg;;5902030255120;0.14;В. Ван Гог;
CAR198-8011;55786;Тарелка квадратная Поцелуй (Г.Климт);525;945;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;25х25 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13563.jpg;;5902030255175;0.18;Г.Климт;
CAR198-8041-AL;53860;Блюдо Поцелуй (Г. Климт);526;947;Стекло;На складе;2;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Блюда;30х19,5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12058.jpg;;5902030254963;0.47;Г.Климт;
CAR198-8061-AL;53861;Менажница Поцелуй/Адель/В ожидании (Г. Климт);688;1238;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Менажницы;29,6 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12059.jpg;;5902030254970;0.40;Г.Климт;
CAR198-8071;57650;Набор для торта: блюдо с лопаткой Поцелуй  (Г. Климт)  в подарочной упаковке;1158;2084;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Блюда для торта;28см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14906.jpg;;5907580015729;0.80;Г.Климт;
CAR198-8081;57866;Набор для торта: блюдо квадратное с лопаткой Поцелуй (Г. Климт) в подарочной упаковке;1196;2153;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Блюда для торта;25х25см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/15073.jpg;;5907580015743;0.67;Г.Климт;
CAR198-8091-AL;53863;Менажница с ручкой Поцелуй (Г. Климт);961;1730;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Менажницы;30x30х5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12060.jpg;;5902030254987;0.60;Г.Климт;
CAR198-8101;56762;Тарелка фигурная Поцелуй (Г.Климт);597;1075;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х23 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14325.jpg;;5907580050355;0.39;Г.Климт;
CAR198-8103;56764;Тарелка фигурная Медицина (Г.Климт);597;1075;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х23 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14323.jpg;;5907580050362;0.39;Г.Климт;
CAR198-8105;56763;Тарелка фигурная Адель (Г.Климт);597;1075;Стекло;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х23 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14327.jpg;;5907580050386;0.39;Г.Климт;
CAR198-8112;56807;Тарелка фигурная Ожидание (Г.Климт);597;1075;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х23 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14328.jpg;;5907580050393;0.39;Г.Климт;
CAR198-8401;56767;Тарелка квадратная Поцелуй (Г.Климт);410;738;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х15 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14321.jpg;;5907580050478;0.27;Г.Климт;
CAR198-8405;56768;Тарелка квадратная Адель (Г.Климт);410;738;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х15 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14319.jpg;;5907580050485;0.27;Г.Климт;
CAR198-8412;56770;Тарелка квадратная Ожидание (Г.Климт);410;738;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х15 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14320.jpg;;5907580050508;0.27;Г.Климт;
CAR198-8419;56769;Тарелка квадратная Семья (Г.Климт);410;738;Стекло;На складе;>20;Carmani;КИТАЙ;Польша;Предметы сервировки стола;Тарелки;15х15 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14322.jpg;;5907580050492;0.27;Г.Климт;
CAR2-016-0001-AL;45334;Кружка Аэроплан 1941 г;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9185.jpg;Распродажа;6901202584111;0.25;Путешествия;
CAR2-016-0002-AL;45335;Кружка Мерседес-Бенц 540 1938 г;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9193.jpg;Распродажа;6901202584128;0.25;Ретро автомобили;
CAR2-016-0003-AL;45336;Кружка Английский фрегат 18 века;524;943;Костяной фарфор;Ожидается;Ожидается;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9184.jpg;;6901202584135;0.25;Путешествия;
CAR2-016-0005-AL;45338;Кружка Бентли 1955 г;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9186.jpg;Распродажа;6901202584159;0.25;Ретро автомобили;
CAR2-016-0006-AL;45339;Кружка Мотоцикл Триумф 1970 г;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9195.jpg;Распродажа;6901202584166;0.25;Ретро автомобили;
CAR2-016-0007-AL;45340;Кружка Студебекер 1930 г;419;754;Костяной фарфор;На складе;12;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9198.jpg;Распродажа;6901202584173;0.25;Ретро автомобили;
CAR2-016-0008-AL;45341;Кружка Харлей Дэвидсон 1936 г;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,45 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9199.jpg;Распродажа;6901202584180;0.25;Ретро автомобили;
CAR2-016-5301;57783;Кружка с брелоком Мотоцикл Харлей - Дэвидсон Спортстер 883, юноша;782;1408;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14985.jpg;;5907580061344;0.30;Ретро автомобили;
CAR2-016-5302;57784;Кружка с брелоком Мотоцикл Харлей - Дэвидсон Спортстер 883, девушка;782;1408;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14984.jpg;;5907580061351;0.30;Ретро автомобили;
CAR2-016-5303;57785;Кружка с брелоком Мотоцикл Сузуки Бандит 650 S;782;1408;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14983.jpg;;5907580061368;0.30;Ретро автомобили;
CAR2-016-5304;57786;Кружка с брелоком Мотоцикл Дукати Монстр 796;782;1408;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14982.jpg;;5907580061375;0.30;Ретро автомобили;
CAR2-016-6005B;56673;Кружка Мотоцикл Триумф 1970 г.;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,4 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14313.jpg;Распродажа;5907580054582;0.25;Ретро автомобили;
CAR2-016-6007B;56672;Кружка Мотоцикл Харлей -Дэвидсон 1963 г.;419;754;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,4 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14314.jpg;Распродажа;5907580054599;0.25;Ретро автомобили;
CAR2-016-7101;56674;Кружка Ягуар E-type  1963 г.;660;1188;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,44 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14318.jpg;;5907580054667;0.26;Ретро автомобили;
CAR2-016-7103;57049;Кружка Астон Мартин;660;1188;Костяной фарфор;На складе;9;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,44 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14510.jpg;;5907580057729;0.30;Ретро автомобили;
CAR2-016-7104;56675;Кружка Бугатти Вейрон;660;1188;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,44 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14315.jpg;;5907580054674;0.26;Ретро автомобили;
CAR2-016-7105;56676;Кружка Феррари F12;660;1188;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,44 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14317.jpg;;5907580054681;0.26;Ретро автомобили;
CAR2-016-7106;56677;Кружка Мазерати ГранКабрио;660;1188;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,44 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14316.jpg;;5907580054698;0.26;Ретро автомобили;
CAR2-016-8000;57046;Кружка Парусник. Полдень;617;1111;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,4 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14509.jpg;;5907580057699;0.27;Путешествия;
CAR2-016-8001;57047;Кружка Парусник. Восход;617;1111;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,4 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14507.jpg;;5907580057705;0.27;Путешествия;
CAR2-016-8002;57048;Кружка Парусник. Закат;617;1111;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,4 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14508.jpg;;5907580057712;0.27;Путешествия;
CAR2-017-2002;56895;Кружка Crazy Cats. Кошка;435;783;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14379.jpg;;5907580003443;0.23;Crazy Cats;
CAR2-017-2005;56896;Кружка Crazy Cats. Любовь;435;783;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14380.jpg;;5907580059013;0.23;Crazy Cats;
CAR2-017-2009;56897;Кружка Crazy Cats. Кошка и птичка;435;783;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14377.jpg;;5907580045238;0.23;Crazy Cats;
CAR2-017-2010;56898;Кружка Crazy Cats. Кошка с котятами;435;783;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14378.jpg;;5907580045344;0.23;Crazy Cats;
CAR2-017-2013;57476;Кружка Crazy Cats. Кошка в ванне;435;783;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14829.jpg;;5907580060040;0.23;Crazy Cats;
CAR2-017-2014;57477;Кружка Crazy Cats. Музыканты;435;783;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.5л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14830.jpg;;5907580060033;0.23;Crazy Cats;
CAR2-045-0100-AL;47616;Кружка На лугу, в подарочной упаковке;296;533;Костяной фарфор;На складе;3;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,38 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10972.jpg;Распродажа;6901202584470;0.26;Новые импрессионисты;
CAR2-045-0101-AL;47617;Кружка В саду, в подарочной упаковке;296;533;Костяной фарфор;На складе;6;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,38 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10969.jpg;Распродажа;6901202584487;0.26;Новые импрессионисты;
CAR2-045-0105-AL;47620;Кружка Подсолнухи (Ван Гог), в подарочной упаковке;442;796;Костяной фарфор;На складе;2;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,38 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10974.jpg;Распродажа;6901202584517;0.26;В. Ван Гог;
CAR2-045-0106-AL;47621;Кружка Ночная терраса кафе (Ван Гог), в подарочной упаковке;442;796;Костяной фарфор;На складе;7;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0,38 л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10973.jpg;Распродажа;6901202584524;0.26;В. Ван Гог;
CAR2-045-0111-AL;53842;Кружка Дама с собачкой,  в подарочной упаковке;371;668;Костяной фарфор;На складе;5;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.38л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12183.jpg;Распродажа;6901202584807;0.31;Новые импрессионисты;
CAR2-045-0112-AL;53844;Кружка Утреннее чаепитие,  в подарочной упаковке;371;668;Костяной фарфор;На складе;9;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.38л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12189.jpg;Распродажа;6901202584814;0.31;Новые импрессионисты;
CAR2-045-0113-AL;53840;Кружка Балерины, в подарочной упаковке;520;936;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.38л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12181.jpg;;6901202584821;0.31;Балет;
CAR2-045-0128;55260;Кружка За чашкой кофе, в подарочной упаковке;371;668;Костяной фарфор;На складе;8;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.38л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13180.jpg;Распродажа;6901202585026;0.31;Новые импрессионисты;
CAR2-045-0129;55262;Кружка Прогулка в поле, в подарочной упаковке;371;668;Костяной фарфор;На складе;5;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.38л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13182.jpg;Распродажа;6901202585033;0.31;Новые импрессионисты;
CAR2-045-0131;55688;Кружка Материнство в подарочной упаковке;371;668;Костяной фарфор;На складе;>20;Carmani;КИТАЙ;Польша;Кружки;Кружки обычные;0.4л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13529.jpg;Распродажа;6901202585347;0.31;Новые импрессионисты;
CAR2-045-0208-AL;53827;Чашка с блюдцем Васильки, в подарочной упаковке;502;904;Костяной фарфор;На складе;7;Carmani;КИТАЙ;Польша;Посуда для чая;Чайные пары;0.28л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12192.jpg;Распродажа;6901202584845;0.44;Новые импрессионисты;
CAR2-045-0212-AL;53843;Чашка с блюдцем Утреннее чаепитие, в подарочной упаковке;628;1130;Костяной фарфор;На складе;2;Carmani;КИТАЙ;Польша;Посуда для чая;Чайные пары;0.28л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12199.jpg;Распродажа;6901202584883;0.44;Новые импрессионисты;
CAR2-045-0226;55255;Чашка с блюдцем Дама за столиком, в подарочной упаковке;628;1130;Костяной фарфор;На складе;2;Carmani;КИТАЙ;Польша;Посуда для чая;Чайные пары;0.28л;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13183.jpg;Распродажа;6901202585040;0.44;Новые импрессионисты;
