Артикул;Код сайта;Наименование;Цена опт;РРЦ;Материал;Наличие на складе;Остаток;Бренд;Страна производства;Страна ТМ;Категория;Категория 2;Размеры;Вид упаковки;Ссылка на фото;;Штрих-код;Вес;Серия;
002.060200.036;56977;Штопор Legnoart, серия Nebbiolo (серый);2328;3175;Нержавеющая сталь, дерево;Ожидается;Ожидается;Legnoart;КИТАЙ;Италия;Винные аксессуары;Штопоры, открывалки для бутылок;14,5x2x3,5см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14471.jpg;;8032732822980;0.00;Винные аксессуары;
002.060200.037;56978;Штопор Legnoart, серия Nebbiolo (светл.);2328;3175;Нержавеющая сталь, дерево;Ожидается;Ожидается;Legnoart;КИТАЙ;Италия;Винные аксессуары;Штопоры, открывалки для бутылок;14,5х2х3,5см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14470.jpg;;8032732822102;0.00;Винные аксессуары;
002.060200.038;56979;Штопор Legnoart, серия Merlot;1995;2720;Нержавеющая сталь, дерево;Ожидается;Ожидается;Legnoart;КИТАЙ;Италия;Винные аксессуары;Штопоры, открывалки для бутылок;18х6х5см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14469.jpg;;8032732823222;0.00;Винные аксессуары;
002.070800.014;57522;Мельница для соли и перца Legnoart, цвет натуральный;1661;2265;Ясень;На складе;8;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Мельницы;115х60х60 мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14865.jpg;;8032732822904;0.00;Кухонные аксессуары;
002.070800.015;57523;Мельница для соли и перца Legnoart, цвет венге;1661;2265;Ясень;На складе;18;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Мельницы;115х60х60 мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14863.jpg;;8032732822935;0.00;Кухонные аксессуары;
002.070800.016;57524;Мельница для соли и перца Legnoart, цвет натуральный;1994;2719;Ясень;Ожидается;Ожидается;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Мельницы;285х75х75 мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14864.jpg;;8032732822911;0.00;Кухонные аксессуары;
002.070800.017;57525;Мельница для соли и перца Legnoart, цвет венге;1994;2719;Ясень;На складе;16;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Мельницы;285х75х75 мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14862.jpg;;8032732822942;0.00;Кухонные аксессуары;
002.070800.018;57526;Мельница для перца чили Legnoart, цвет натуральный;1661;2265;Ясень;На складе;3;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Мельницы;150х75х75 мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14861.jpg;;8032732822973;0.00;Кухонные аксессуары;
010.021700.001;39128;Контейнер для трав и специй  AdHoc;1287;1755;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Наборы для специй;7см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7499.jpg;;4037571212125;0.13;Кухонные аксессуары;
010.021900.003;48355;Овощечистка AdHoc, серия SCHUHBECKs, нержавеющая сталь;803;1095;Нержавеющая сталь;На складе;2;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Ножи;15х7х3 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11528.jpg;Распродажа;4037571550128;0.00;Кухонные аксессуары;
010.022300.003;55180;Вспениватель молока AdHoc, серия RAPIDO DOTS;1320;1800;Нержавеющая сталь, пластик;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Чайные, кофейные аксессуары;6,5х21,5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13191.jpg;;4037571386345;0.00;Кухонные аксессуары;
010.022500.001;53606;Диспенсер для мюсли на подставке AdHoc, серия DEPOSITO;4873;6645;Нержавеющая сталь, акрил;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Диспенсеры;42.5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11939.jpg;;4037571212934;0.00;Кухонные аксессуары;
010.022600.001;39131;Пресс для чеснока, серия ALOI, черный;1832;2498;Нержавеющая сталь, пластик, акрил;На складе;2;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Пресс для чеснока;12х7 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7521.jpg;;4037571212613;0.24;Кухонные аксессуары;
010.022700.003;48356;Держатель/клипса для ложки AdHoc;424;578;Нержавеющая сталь, силикон;На складе;4;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Кухонные инструменты;4х4х8см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11532.jpg;Распродажа;4037571211616;0.00;Кухонные аксессуары;
010.022700.004;56316;Зажигалка AdHoc, серия FIRE FINGER, светло-серый без инд.упаковки;763;1040;Нержавеющая сталь, пластик;На складе;12;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Зажигалки;22х4х4 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13887.jpg;Распродажа;4037571430338;0.10;Кухонные аксессуары;
010.022700.006;56318;Зажигалка AdHoc, серия FIRE FINGER, красный без инд.упаковки;763;1040;Нержавеющая сталь, пластик;На складе;3;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Зажигалки;22х4х4 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13886.jpg;Распродажа;4037571430352;4.85;Кухонные аксессуары;
010.022800.002;55181;Ступка с пестиком CRUSH;2641;3601;Акация, чугун;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Ступки;13х7,5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13190.jpg;;4037571222124;0.00;Кухонные аксессуары;
010.022900.009;55179;Тёрка для имбиря AdHoc, серия ZENZERO;987;1346;Нержавеющая сталь, пластик;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Терки;11,4x7,2 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13192.jpg;;4037571386086;0.00;Кухонные аксессуары;
010.022900.010;56319;Терка мелкая AdHoc, серия GRANA;1405;1916;Нержавеющая сталь, дерево;На складе;3;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Терки;9,5х17 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13884.jpg;Распродажа;4037571386673;5.90;Кухонные аксессуары;
010.022900.011;56320;Терка крупная AdHoc, серия TUFO;1972;2689;Нержавеющая сталь, дерево;На складе;3;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Терки;9,5х17 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13883.jpg;;4037571386710;7.00;Кухонные аксессуары;
