Название товара;Артикул;Идентификатор товара в магазине;Остаток;Цена продажи;Старая цена;Закупочная цена
"Бокал для коньяка ""Барокко"" 300 мл.";385-207;99076102;;5040;;4000
"Бокал для коньяка ""Гусар"" 300 мл.";385-229;99076275;;5670;7087;4500
"Бокал для коньяка ""Дубок"" 300 мл.";385-205;99076290;;5796;;4600
"Бокал для коньяка ""Листочки"" 300 мл.";385-206;99076376;;5040;;4000
"Бокал для коньяка ""Охота На Кабана"" 300 мл.";385-134;99076556;;5040;;4000
"Бокал для коньяка ""Охота На Лося"" 300 мл.";385-135;99076570;;5040;;4000
"Бокал для коньяка ""Охота На Медведя"" 300 мл.";385-136;99076589;;5040;6300;4000
"Бокал для коньяка ""Охотники На Привале"" 300 мл.";385-133;99076617;;5040;;4000
"Бокал для коньяка ""Пастушок"" 300 мл.";385-132;99076657;;5166;;4100
"Бокал для коньяка ""Паук"" 300 мл. в дизайнерской упаковке";385-164;99076678;3;4924;;4700
"Бокал для коньяка ""Рыбалка"" 300 мл.";385-137;99076715;;5040;;4000
"Бокал для коньяка ""Цветок"" 300 мл.";385-210;99076847;;4190;5237;4000
Бокал для коньяка №1;385-211;99075993;;4190;;4000
Ваза декоративная мак фантазия, h=70 см;135-5012;78211621;;3329;4161;2643
Ваза декоративная подсолнух абстрактный, h=50 см;135-5035;78211532;;2911;3638;2311
Ваза декоративная подсолнух классический, h=70 см;135-5011;78211622;;3329;;2643
Ваза декоративная роза на жгуте, h=37 см;135-5036;78211566;;3032;;2407
"Гобеленовая картина ""Нечаянная Радость"" 54х64см.";404-598-31;99076469;1;2153;2691;2055
Зеркало 100x50 см., в багетной раме 119x69 см;575-917-77;78211724;;4321;5401;3430
Зеркало 100x50 см., в багетной раме 120x70 см.;575-917-76;78211729;;4195;;3330
Зеркало 110x60 см., в раме 125x75 см.;575-921-22;78211686;;5225;6531;4148
Зеркало 110x60 см., в раме 125x75 см.;575-921-24;78211708;;3962;;3145
Зеркало 110x60 см., в раме 125x75 см.;575-921-01;78211709;;3922;;3114
Зеркало 110x60 см., в раме 125x75 см.;575-921-23;78211715;;3920;4900;3112
Зеркало 110x60 см., в раме 125x75 см.;575-921-21;78211717;;3920;;3112
Зеркало 110x60 см., в раме 127x77 см.;575-921-39;78211714;;6581;;5224
Зеркало 110x60 см., в раме 130x80 см.;575-921-77;78211702;;4248;;3372
Зеркало 150x60 см в раме 170x80 см;575-915-76;78211726;;6035;7543;4790
Зеркало 150x60 см., в раме 165x75 см.;575-915-37;78211701;;4943;;3924
Зеркало 150x60 см., в раме 165x75 см.;575-915-23;78211698;;4830;6037;3834
Зеркало 150x60 см., в раме 165x75 см.;575-915-01;78211697;;4797;;3808
Зеркало 150x60 см., в раме 168x78 см.;575-915-39;78211707;;6480;;5144
Зеркало 150x60 см., в раме 169x78 см.;575-915-77;78211703;;5632;;4470
Зеркало 57x81 см., в багетной раме 102x77 см.;575-916-76;78211728;;4187;5233;3324
Зеркало 60x110 см., в раме 75x125 см.;575-921-37;78211699;;4200;;3334
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-24;78211694;;4318;;3428
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-37;78211688;;4372;5465;3470
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-01;78211727;;4328;5410;3435
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-23;78211725;;4323;;3432
Зеркало 70х97 см в раме 85х101 см;575-933-37;78211716;;4054;;3218
Зеркало 75х100 см в раме 90х115 см;575-933-24;78211712;;4014;;3186
"Кашпо ""Бабочки"" d=32 см. h=22 см.";742-225;99076055;;5640;7050;4477
"Набор из 2-х бокалов для коньяка ""Барокко""";385-215;99076082;1;8697;;8300
"Набор из 2-х бокалов для коньяка ""Гусар"" 300 мл. в дизайнерской упаковке";385-230;99076253;;11088;;8800
"Набор из 2-х бокалов для коньяка ""Кабан-медведь"" 300 мл. в кожаном футляре";385-138;99076314;;13356;;10600
"Набор из 2-х бокалов для коньяка ""Охотники На Привале"" 300 мл. в кожаном футляре";385-160;99076631;;12222;15277;9700
"Набор из 2-х бокалов для коньяка ""Цветок""";385-218;99076861;1;8697;;8300
"Набор из 2-х лафитников для водки ""Барокко-2""";385-192;99076139;;3780;;3000
"Набор из 2-х лафитников для водки ""Классика"" 50 мл. в дизайнерской упаковке";385-150;99076357;;3780;4725;3000
"Набор из 2-х лафитников для водки ""Классика"" 50 мл. в кожаном футляре";385-151;99076348;;4714;;4500
"Набор из 2-х лафитников для водки ""Рыбы"" 50 мл.";385-125;99076758;;4914;;3900
"Набор из 2-х подстаканников с ложками ""А.Невский И Императрица"" 250 мл. в кожаном футляре";385-168;99076028;1;9326;;8900
"Набор из 2-х подстаканников с ложками ""Кабан-щука"" 250 мл. в кожаном футляре";385-167;99076330;1;11435;;10914
"Набор из 2-х подстаканников с ложками ""Петр I и Екатерина II"" 250 мл. в кожаном футляре";385-165;99076691;;11214;;8900
"Набор из 3-х лафитников для водки ""Барокко""";385-195;99076065;;5166;;4100
"Набор из 3-х лафитников для водки ""Барокко-2""";385-196;99076131;;5166;;4100
"Набор из 3-х лафитников для водки ""Лошади"" 50 мл. в кожаном футляре";385-176;99076407;;9509;11886;7548
"Набор из 3-х лафитников для водки ""Многогранный""";385-197;99076433;;4295;;4100
"Набор из 3-х лафитников для водки ""Рыбы"" 50 мл.";385-127;99076744;;7560;;6000
"Набор из 3-х лафитников для водки ""Цветок""";385-194;99076882;1;4295;;4100
"Набор из 4-х лафитников для водки ""Гербовый"" 50 мл.";385-237;99076211;;6678;;5300
"Набор из 4-х лафитников для водки ""Классика"" 50 мл. в дизайнерской упаковке";385-152;99076367;;6678;8347;5300
"Набор из 4-х лафитников для водки ""Охота""";385-200;99076491;;8946;;7100
"Набор из 6-ти лафитников для водки ""Гербовый"" 50 мл.";385-238;99076220;;10080;;8000
"Набор из 6-ти лафитников для водки ""Охота""";385-201;99076532;;13356;;10600
"Набор из 6-ти лафитников для водки ""С Охоты На Рыбалку"" 50 мл.";385-240;99076775;;13356;;10600
Набор стаканов 2 шт. 350 мл.;29-3113;99076013;9;7524;9405;7181
Набор стаканов 2 шт. 400 мл.;29-3107;99076023;6;8454;;6710
"Подстаканник ""Барокко"" латунь,жаропрочное стекло с позолоченной каемкой";385-183;99076121;1;4244;;4050
"Подстаканник ""Георгий"" 250 мл. латунь, жаропрочное стекло с позолоченной каемкой";385-169;99076150;;6174;7717;4900
"Подстаканник ""Герб"" латунь,жаропрочное стекло с позолоченной каемкой";385-185;99076165;;6048;;4800
"Подстаканник ""Грибник"" латунь,жаропрочное стекло с позолоченной каемкой";385-184;99076236;;6048;;4800
"Подстаканник ""Лошадь"" 250 мл. латунь, жаропрочное стекло с позолоченной каемкой";385-172;99076414;;4086;;3900
"Подстаканник ""Народный"" латунь,жаропрочное стекло с позолоченной каемкой";385-187;99076449;;6048;7560;4800
"Подстаканник ""Охота На Уток"" 250 мл. латунь, жаропрочное стекло с позолоченной каемкой";385-171;99076605;;4788;;3800
"Подстаканник ""Ссср"" медь";386-901-1;99076790;;1548;;1180
"Подстаканник ""Судак"" 250 мл. латунь, жаропрочное стекло с позолоченной каемкой";385-170;99076820;3;3981;;3800
"Стакан с подстаканником ""Кабан"" 250 мл.";385-146;99076304;;3981;;3800
"Стакан с подстаканником ""Лось"" 250 мл.";385-139;99076397;1;4714;5892;4500
"Стакан с подстаканником ""Медведь"" 250 мл.";385-140;99076420;;5029;;4800
"Стакан с подстаканником ""Охота На Медведя"" 250 мл.";385-143;99076580;;3981;;3800
"Стакан с подстаканником ""Парусник"" 250 мл.";385-144;99076647;;3981;;3800
"Стакан с подстаканником ""Рыбалка Трофейный"" 250 мл.";385-226;99076730;;5670;;4500
"Стакан с подстаканником ""Утки"" 250 мл.";385-141;99076830;3;4701;5876;4488
"Стакан с подстаканником ""Щука"" 250 мл.";385-145;99076918;;4788;;3800
"Стакан с подстаканником черненым ""Дева"" сублимация 225 мл.";386-603;99076285;;1860;;1418
"Стакан с подстаканником черненым ""Рак"" сублимация 225 мл.";386-607;99076704;;1860;;1418
"Стакан хрустальный с подстаканником ""Георгий Победоносец"" 225 мл. позолота";386-558;99076156;;3259;;2587
"Стакан хрустальный с подстаканником ""Герб России"" + ложка позолота 225 мл. в футляре";386-148;99076179;;5049;6311;4008
"Стакан хрустальный с подстаканником ""Герб России"" посеребренный с частичной позолотой+ложка 250 мл.";386-037;99076197;;4145;;3956
"Стакан хрустальный с подстаканником ""Отечество,долг,честь"" + ложка позолота 225 мл.";386-047;99076476;;3247;;2578
"Стакан хрустальный с подстаканником ""Ссср"" + ложка позолота 225 мл. в футляре";386-145;99076800;;5049;;4008
"Стакан хрустальный с подстаканником ""Храм Василия Блаженного"" 225мл. позолота";386-036;99076841;;3259;;2587
"Стакан хрустальный с подстаканником ""Штурвал"" + ложка позолота 225 мл.";386-547;99076901;;3247;;2578
"Стакан хрустальный с подстаканником черненым ""Храм Василия Блаженного"" 225 мл.";386-035;99076836;;1818;2272;1386
"Фоторамка горизонтальная ""Арт Деко"" персик с золотой каймой, 9.5x12 см.";742-224;99076046;1;3604;;2861
"Ваза ""Агат"", коне 15 см., h=80 см.";354-1373;78211583;2;6707;;6400
"Набор из 2-х лафитников для водки ""Лошади"", 50 мл.";385-128;78213610;;4914;;3900
"Набор из 2-х лафитников для водки ""Лошади"", 50 мл., в кожаном футляре";385-157;78213615;1;6182;7727;5900
"Набор из 4-х лафитников для водки ""Лошади"", 50 мл.";385-129;78213612;;7544;9430;7200
"Набор из 4-х лафитников для водки ""Лошади"", 50 мл., в кожаном футляре";385-158;78213611;1;11952;;9486
"Набор из 6-ти лафитников для водки ""Лошади"", 50 мл.";385-130;78213614;1;11106;;10600
"Набор из 2-х бокалов для коньяка ""Пастушок"", 300 мл., в кожаном футляре";385-159;78213616;;10164;;9700
"Ваза декоративная ""Роза жостова зеленый фон"", h=37 см.";135-5247;78211616;1;2544;3180;2428
"Ваза декоративная ""Роза на жгуте"", h= 60 см.";135-3029;78211529;;2630;3287;2088
"Набор из 2-х лафитников для водки ""Рыбалка"", 50 мл.";385-120;78213618;1;6733;;6426
"Набор из 2-х лафитников для водки ""Рыбалка"", 50 мл., в кожаном футляре";385-153;78213619;;8697;;8300
"Набор из 6-ти лафитников для водки ""Рыбалка"", 50 мл., в кожаном футляре";385-155;78213617;;22655;;19700
"Набор из 2-х лафитников для водки ""Рыбы"", 50 мл., в кожаном футляре";385-121;78213620;8;6286;7857;6000
"Набор из 4-х лафитников ""Рыбы"", 50 мл., в кожаном футляре";385-123;78213623;;9850;;9400
"Набор из 4-х лафитников для водки ""Рыбы"", 50 мл.";385-126;78213621;;9072;;7200
"Набор из 4-х лафитников для водки ""Рыбы"", 50 мл. латунь";385-122;78213624;;15293;19116;12138
"Набор из 4-х лафитников для водки ""Рыбы"", 50 мл., в кожаном футляре";385-154;78213622;;16680;;13900
Набор из 4 предметов: сахарница с ложкой 110 мл + турка 150 мл, поднос;882-005;99076929;3;2536;;1933
Кашпо 25x12 см.;646-005;78211854;1;4381;5476;4182
Комплект: часы каминные циферблат=11 см., + 2 подсвечника, h=40 см.;646-075;78213080;3;26224;32780;22804
Комплект: часы каминные циферблат=11 см., + 2 подсвечника, h=42/42 см.;646-002;78213051;20;28368;;24668
Фруктовница 24 см., h=10 см.;646-018;78212763;1;3607;;3443
Часы настенные с термометром =9 см.;646-044;78212932;;17695;;14746
Часы настенные с термометром, 76x21см;646-043;78212927;;27784;34730;24160
Часы настенные с термометром, 81x24см;646-042;78212929;;32060;;27879
Часы настольные 11 см., h=15 см.;646-006;78213087;;6232;;4947
Часы настольные, d=11см;646-004;78213031;;5560;6950;4414
Часы настольные, h=38см;646-034;78213091;;15120;18900;12600
Подсвечник з-х рожковый 20x10 см, h=18 см;646-021;99076940;13;2557;3196;1949
"Набор бокалов для вина 6 шт. ""Амальфи"", 250 мл., h=21 см.";326-043;78213628;;7084;;5623
"Набор бокалов для вина 6 шт. ""Амальфи"", 250 мл., h=21 см.";326-051;78213634;;7513;;5964
"Набор бокалов для коньяка 6 шт. ""Амальфи"", 450 мл., h=15 см.";326-045;78213626;;7009;;5564
"Набор бокалов для шампанского 2 шт. ""Амальфи"", 200 мл., h=24.5 см.";326-060;78213631;;3250;4062;2580
"Набор бокалов для шампанского 2 шт. ""Амальфи"", 200 мл., h=24.5 см.";326-059;78213633;;3250;;2580
"Набор бокалов для шампанского 6 шт. ""Амальфи"", 150 мл., h=17.5 см.";326-037;78213627;;7150;;5675
"Набор бокалов для шампанского 6 шт. ""Амальфи"", 150мл., h=17.5 см.";326-048;78213637;;7583;;6019
"Набор бокалов для шампанского 6 шт. ""Амальфи"", 180 мл., h=24.5 см.";326-050;78213635;;7435;9293;5901
"Набор бокалов для шампанского 6 шт. ""Амальфи"", 200 мл., h=24.5 см.";326-040;78213629;;7150;;5675
"Набор рюмок 6 шт. ""Амальфи"", 50 мл., h=10.5 см.";326-046;78213632;;4672;;3709
"Набор рюмок 6 шт. ""Амальфи"", 50 мл., h=10.5 см.";326-052;78213636;1;4504;;4299
"Набор стаканов 6 шт. ""Амальфи"", 250 мл., h=10 см.";326-038;78213630;1;5946;;5675
"Набор стаканов 6 шт. ""Амальфи"", 300 мл., h=10 см.";326-047;78213638;;7435;;5901
"Набор стаканов 6 шт. ""Амальфи"", 300 мл., h=9.5 см.";326-044;78213625;11;5946;7432;5675
"Чаша ""Венециано"", 12 см., h=11.5 см.";326-041;78213162;;3033;;2408
"Набор бокалов 6 шт. ""Инфинити"", 250 мл., h=14 см.";326-034;78213639;;8221;;6525
"Набор бокалов для вина 2 шт. ""Позитано"", 600 мл., h=24.5 см.";326-055;78213640;;3900;4875;3096
"Набор бокалов для вина 2 шт. ""Позитано"", 600 мл., h=24.5 см.";326-054;78213644;7;3243;;3096
"Набор бокалов для вина 6 шт. ""Позитано"", 600 мл., h=24.5 см.";326-056;78213643;;11051;13813;8771
"Набор бокалов для вина 6 шт. ""Позитано"", 600 мл., h=24.5 см.";326-057;78213642;5;8649;;8255
"Набор бокалов для шампанского 2 шт. ""Позитано"", 200 мл., h=24.5 см.";326-061;78213646;;5415;;4299
"Набор бокалов для шампанского 2 шт. ""Позитано"", 200 мл., h=24.5 см.";326-058;78213641;;5415;6768;4299
"Чаша ""Позитано"", 12 см., h=11.5 см.";326-042;78213163;;3033;;2408
"Набор бокалов для вина 6 шт. ""Позитано микс"", 300 мл., h=22.5 см.";326-063;78213650;;13954;;11075
"Набор бокалов для коктейлей 6 шт. ""Позитано микс"", 200 мл., h=18.5 см.";326-064;78213648;;14084;17605;11179
"Набор бокалов для коньяка 6 шт. ""Позитано микс"", 450 мл., h=17.5 см.";326-066;78213651;;13809;17261;10960
"Набор бокалов для шампанского 6 шт. ""Позитано микс"", 200 мл., h=24.5 см.";326-062;78213647;;13809;17261;10960
"Набор рюмок 6 шт. ""Позитано микс"", 75 мл., h=12 см.";326-065;78213649;;11837;;11297
"Набор бокалов для вина 6 шт. ""Фиорентино"", 300 мл., h=19 см.";326-019;78213652;;6970;;5533
Кофейный набор для капучино на 6 персон, 12 пр., 300 мл, h=11.5 см;326-012;99076971;2;8179;10223;7806
"Набор бокалов для воды 6 шт+кувшин ""Венециано"" 200/1500 мл, h=14/20 см.";326-030;99076950;;10314;;8186
"Набор бокалов для коньяка 6 шт. ""Фиорентино"" 450 мл, h=15 см.";326-021;99076989;3;7280;9100;6949
"Набор стаканов для воды 6 шт. ""Фиорентино"" 500 мл, h=10 см.";326-032;99076980;;6003;7503;4765
Ваза декоративная с цветами 26x18x18 см.;635-590;69358972;;8834;;7012
Панно настенное 33x24x5 см.;635-600;78212375;;6846;;5434
Чаша декоративная 33x33x20 см.;635-584;78213126;1;6333;;6044
Чаша декоративная 44x22x28 см.;635-586;78213212;;9331;11663;7406
Панно настенное 27x22 см багет 42x36x5 см;635-546-5;99076994;;5084;;4852
Панно настенное 27x22 см багет 42x36x5 см;635-546-7;99077007;2;5084;;4852
Панно настенное 27x22 см багет 42x36x5 см;635-546-6;99077017;;6113;7641;4852
Панно настенное 27x22 см багет42x36x5 см;635-546-4;99077028;6;5084;;4852
Панно настенное 27x22 см багет42x36x5 см;635-546-1;99077064;;6113;;4852
Панно настенное 27x22 см багет42x36x5 см;635-546;99077048;;5084;;4852
Панно настенное 27x22 см багет42x36x5 см;635-546-2;99077077;;5084;6355;4852
Панно настенное 27x22 см багет42x36x5 см;635-546-3;99077037;;6113;;4852
Панно настенное 27x27 см багет 44.5x44.5x4 см;635-500-3;99077088;;9536;;7569
Панно настенное 27x27 см багет 44.5x44.5x5 см;635-500;99077095;2;7930;;7569
Панно настенное 28x22 см багет 41x36x4 см;635-547-1;99077111;;4889;;3881
Панно настенное 30x30 см багет 50x50 см;635-542;99077118;;8539;;8151
Панно настенное 30x30 см багет 50x50 см;635-557;99077130;;10270;12837;8151
Панно настенное 32x32 / багет 50x50x6 см.;635-506;87771743;;13251;16563;10517
Панно настенное 36x15x10 см. в асс. (5 видов);635-512;87771744;;6846;;5434
Панно настенное 38x28 см багет 54x44x9 см в ассортименте;635-549;99077136;;10025;;7957
Панно настенное 38x38 см багет 55x55 см;635-565;99077144;1;12226;;9704
Панно настенное 38x38 см багет 55x55 см;635-566;99077151;;10168;;9704
Панно настенное 43x36 см багет 59x67x6 см;635-503;99077159;8;14969;;14999
Панно настенное 44.5x44.5x5 см;635-500-2;99077176;;7930;;7569
Панно настенное 44.5x44.5x5 см;635-500-1;99077183;1;7930;;7569
Панно настенное 44x36 см багет 62x55x6 см (в ассортименте 6 видов);635-608;99077169;;17429;21786;17466
"Декоративное изделие ""Птица"" 19x12 см. h=5.5 см.";635-604;99077191;;4753;;3773
"Декоративное изделие ""Птицы"" 18x13x15 см.";635-594;99077202;2;6082;;4828
"Декоративное изделие ""Розы"" 10x80 см. h=7 см.";635-602;99077219;3;2378;;1812
"Панно настенное ""Цветы"" 27x22 см багет 43x36x6 см в ассортименте";635-548;98912597;;10270;;8151
"Панно настенное ""Цветы"" 86x66 см.";635-526;98912598;;23799;29748;20695
Ваза 24 см., 17 см.;327-045;69358886;1;3706;;3537
Ваза 30 см.;327-044;69358835;;5672;;4502
Ваза 30x17 см.;327-046;69358984;;6806;8507;5402
Ваза 37x21 см.;327-042;69358954;1;6739;;6432
Ваза декоративная 40x21x13 см.;327-065;69358707;;9216;;7315
Ваза декоративная с крышкой 38x68x28 см.;327-063;69358747;;15599;;12381
Ваза декоративная, h16 см., 30 см.;327-037;69358940;;7657;9571;6078
Кашпо, h=21 см., 35 см.;327-038;78211903;;6640;8300;5270
Лампа настольная, h58 см., 33 см.;327-051;69359082;;14605;;11592
Лампа настольная, h73 см., 45 см.;327-031;69359071;1;17712;;14760
"Комплект статуэток 2 шт. на подставках ""Французская пара"", h=100 см., 37 см.";327-069;78212382;;62675;;54500
"Комплект статуэток 2 шт.""Ангелы"" 17x15 см. h=13 счм.";327-066;99077229;;13016;16270;10331
Зеркало настенное 42x10x61 см. 61x42 см;721-101;99077333;2;11742;;11206
Зеркало настенное 57x10x57 см, d=57 см;721-102;99077319;;12527;;11956
Зеркало настенное 61x5.5x81 см. 70x50 см;721-109;99077308;2;10917;13646;10420
Зеркало настенное 66x3.5x91 см. 90x65 см;721-108;99077289;4;12790;;12207
Зеркало настенное 76x4x76 см, d=30 см;721-111;99077280;5;10791;;10299
Зеркало настенное 91.5x2.5x91.5 см, d=30 см;721-105;99077249;;15618;;12396
Зеркало настенное 92x12x92 см, d=40 см;721-100;99077260;6;23214;;23146
Панно настенное 101.5x2.5x101.5 см.;721-106;99077347;;12019;15023;11471
Панно настенное 102x2.5x102 см.;721-114;99077357;5;25309;;25235
Панно настенное 102x3x102 см.;721-110;99077366;;18235;;15196
Панно настенное 60x2.5x210 см.;721-103;99077269;2;21323;;21261
Панно настенное 61x2.5x102 см.;721-104;99077276;5;17085;;17121
Панно настенное 70x4x70 см.;721-113;99077298;;11523;14403;10997
"Ваза на ножке ""Mozart amber"", h40 см.";614-560;69358877;;4523;;3590
"Ваза на ножке ""Oklahoma amber"", h40 см.";614-547;69358879;;4523;;3590
Ваза 22см.;614-625;99077409;2;5083;;4851
Ваза 25.5 см.;614-508;99077394;3;13438;;12826
Конфетница d=15 см. h=9см.;614-651;99077443;9;7271;;6939
Конфетница d=20.5 см. h=13см.;614-652;99077432;3;10530;;10050
Конфетница-корзина 20x13.5см. h=18см.;614-653;99077378;2;10077;;9618
Набор бокалов для вина 6 шт. 200мл. h=20.5см.;614-647;99077455;;7884;;6258
Набор бокалов для вина 6 шт. 250мл. h=16.5см.;614-648;99077417;;8965;;7116
"Ваза ""500pk"" h=14.5см.";614-639;99077593;5;3719;;3549
"Ваза ""500pk"" h=18см.";614-640;99077581;5;3785;;3612
"Конфетница ""500pk"" d=11.6 см. h=10см.";614-635;99077604;4;3200;;3054
"Конфетница ""500pk"" d=12.5см. h=12см.";614-638;99077466;6;2967;3708;2832
"Конфетница ""500pk"" d=15.5 см. h=12см.";614-634;99077477;6;4004;;3822
"Конфетница ""500pk"" d=18 см. h=13см.";614-637;99077488;4;5011;;4783
"Конфетница с крышкой ""500pk"" d=15.5 см. h=18см.";614-633;99077499;4;8665;10831;8270
"Конфетница с крышкой на ножке ""500pk"" d=11.5см. h=16.5см";614-632;99077514;5;4756;;4539
"Конфетница с крышкой на ножке ""500pk"" d=12см. h=17см.";614-630;99077529;1;7782;;7427
"Конфетница с крышкой на ножке ""500pk"" d=16см. h=23см.";614-631;99077545;3;9982;;9527
"Конфетница-корзина ""500pk"" 15x9.5см. h=13см.";614-641;99077555;2;4825;;4606
"Конфетница-корзина ""500pk"" 20x13см h=18см";614-642;99077567;1;7617;9521;7270
"Менажница 2-х секционная ""500pk"" 36x14см. h=4.5см.";614-644;99077642;3;8176;;7803
"Менажница 2-х секционная на ножке ""500pk"" 36x14.5см. h=12.5см.";614-645;99077659;6;9822;12277;9375
"Менажница 4-х секционная 26x26см. ""500pk"" h=5см.";614-643;99077678;5;9818;;9371
"Набор стаканов для виски 6 шт. ""500pk"" 350мл. h=9.5см.";614-649;99077616;1;8531;;8142
"Салфетница ""500pk"" 14.5x4.5см. h=16.5см";614-659;99077629;3;5607;;4450
"Блюдо ""Angels"" 35.5x27 см., h=5 см.";614-579;87771745;14;2165;;2066
"Ваза ""Angels"" h=30.5 см.";614-580;87771746;21;3121;;2979
"Ваза на ножке ""Angels"" h=38 см.";614-581;87771748;10;3662;4577;3496
"Конфетница с крышкой ""Angels"" 22x16 см., h=18 см.";614-573;87771749;2;2103;;2008
"Фруктовница ""Angels"" 33x23 см., h=8 см.";614-574;87771750;19;3560;4450;2826
"Фруктовница на ножке ""Angels"" 33x24 см. h=15 см.";614-576;99077696;21;3850;;3675
"Фруктовница на ножке ""Angels"" 35x27 см., h=11 см.";614-577;87771751;13;3117;;2974
"Набор для виски ""Cooper"" 3 пр.: штоф+2 стакана 400/230 мл, h=24/9 см.";614-619;99077717;21;3955;;3775
"Набор для виски ""Cooper"" 3 пр.: штоф+2 стакана 400/230 мл, h=24/9 см.";614-618;99077733;;3954;;3774
"Набор для виски ""Cooper"" 3 пр.:штоф+2 стакана 400/230 мл, h=24/9 см.";614-537;99077710;21;3258;4072;3109
"Набор для виски ""Cooper"" 7 пр.: штоф+6 стаканов 400/230 мл, h=24/9 см.";614-538;99077704;10;4029;;3846
"Набор стаканов для виски 6 шт. ""Cooper"" 320 мл. d=10 см. h=9 см.";614-534;99077726;1;2187;;1667
"Штоф ""Cooper"" 400 мл, h=24 см.";614-536;99077744;2;2167;;2068
"Набор для виски ""Diplomat"" 7 пр.: штоф+6 стаканов 700/300 мл, h=20/9.5см.";614-660;99077755;6;4188;;3998
"Ваза ""Mozart"" h=32 см.";614-555;87771752;;3007;;2387
"Ваза на ножке ""Mozart"" h=40 см.";614-556;87771753;;3812;;3026
"Фруктовница ""Mozart"" 30.5 см., h=11 см.";614-553;87771754;21;2137;2671;2040
"Фруктовница на ножке ""Mozart"" 30.5 см., h=20 см.";614-554;87771755;21;2822;;2694
"Фруктовница ""Mozart amber"" 30.5 см., h=11 см.";614-557;87771756;;2756;;2630
"Ваза на ножке ""Mozart violet"" h=40 см.";614-564;87771757;;4523;5653;3590
"Фруктовница ""Mozart violet"" 30.5 см., h=11 см.";614-561;87771758;7;2756;;2630
"Фруктовница на ножке ""Mozart violet"" 30.5 см., h=20 см.";614-562;87771759;6;3561;4451;3399
"Ваза ""Oklahoma"" h=32 см.";614-542;87771760;;2501;;2387
"Ваза на ножке ""Oklahoma"" h=40 см.";614-543;87771761;4;3172;;3027
"Фруктовница ""Oklahoma"" 30.5 см., h=11 см.";614-540;87771762;21;2137;;2040
"Фруктовница на ножке ""Oklahoma"" 30.5 см., h=20 см.";614-541;87771763;20;2822;3527;2694
"Фруктовница ""Oklahoma amber"" 30.5 см., h=12 см.";614-544;87771764;5;2756;;2630
"Фруктовница на ножке ""Oklahoma amber"" 30.5 см., h=20 см.";614-545;87771765;;4281;;3399
"Ваза ""Oklahoma violet"" h=32 см.";614-550;87771766;;3553;;2820
"Ваза ""Oklahoma violet"" h=40 см.";614-551;87771767;;4523;;3590
"Фруктовница ""Oklahoma violet"" 30.5 см., h=11 см.";614-548;87771768;11;2756;;2630
"Фруктовница на ножке ""Oklahoma violet"" 30.5 см., h=20 см.";614-549;87771769;16;3561;;3399
"Ваза ""Plantica"" h=32 см.";614-568;87771770;21;2501;3126;2387
"Ваза ""Plantica"" h=32 см.";614-604;87771771;;3603;4503;2860
"Ваза ""Plantica"" h=32 см.";614-592;87771772;;3603;;2860
"Ваза на ножке ""Plantica"" h=40 см.";614-569;87771774;21;3172;3965;3027
"Ваза на ножке ""Plantica"" h=40 см.";614-601;87771775;;4423;;3511
"Ваза на ножке ""Plantica"" h=40 см.";614-593;87771776;;4423;5528;3511
"Набор для виски ""Plantica"" 3 пр.: штоф+2 стакана 700/280 мл, h=25/10 см.";614-583;99077841;21;3460;;3303
"Набор для виски ""Plantica"" 7 пр.: штоф+6 стаканов 650/280 мл, h=24/10 см.";614-582;99077852;21;4568;;4359
"Набор стаканов для виски 6 шт. ""Plantica"" 280 мл, h=10 см.";614-614;99077819;21;2758;;2633
"Набор стаканов для виски 6 шт. ""Plantica"" 320 мл, h=10 см.";614-585;99077831;21;1746;;1666
"Тортовница ""Plantica"" d=35 см. h=11см.";614-657;99077798;21;2571;;2454
"Фруктовница ""Plantica"" 32 см., h=11.5 см.";614-590;87771777;;3603;;2860
"Фруктовница ""Plantica"" 33 см., h=11 см.";614-566;87771779;20;2341;;2235
"Фруктовница ""Plantica"" 33 см., h=11 см.";614-598;87771778;6;3056;;2917
"Фруктовница ""Plantica"" 33 см., h=12 см.";614-602;87771780;;3603;;2860
"Фруктовница ""Plantica"" 36.5x20см. h=10см.";614-658;99077787;13;1977;;1888
"Фруктовница ""Plantica"" d=33 см. h=11 см.";614-606;99077776;;3675;4593;2917
"Фруктовница на ножке ""Plantica"" 33 см., h=20 см.";614-599;87771783;;4423;;3511
"Фруктовница на ножке ""Plantica"" 33 см., h=20 см.";614-603;87771782;;4336;5420;3442
"Фруктовница на ножке ""Plantica"" 33 см., h=20 см.";614-567;87771781;;3544;4430;2814
"Штоф ""Plantica"" 750 мл, h=25 см.";614-584;99077809;;2586;;2468
"Ваза ""Tomy"" h=20см.";614-626;99077869;2;3163;;3019
"Набор бокалов 6 шт. ""Tomy"" 70мл. h=9см.";614-621;99077880;2;19980;;16650
"Набор бокалов для вина 6 шт. ""Tomy"" 250мл. h=17.5см.";614-623;99077862;1;18496;;18534
